author,predicted reliability,0
RepTomGraves,0,17
RepTomGraves,1,80
RepTomReed,0,22
RepTomReed,1,104
RepTomRice,0,7
RepTomRice,1,68
RepTomSuozzi,0,31
RepTomSuozzi,1,159
RepTorresSmall,0,16
RepTorresSmall,1,229
RepTrentKelly,0,19
RepTrentKelly,1,140
RepTrey,0,20
RepTrey,1,82
RepUnderwood,0,45
RepUnderwood,1,430
RepValDemings,0,65
RepValDemings,1,171
RepVanTaylor,0,7
RepVanTaylor,1,138
RepVeasey,0,17
RepVeasey,1,182
RepVisclosky,0,5
RepVisclosky,1,32
RepWalberg,0,13
RepWalberg,1,154
RepWalorski,0,31
RepWalorski,1,220
RepWalterJones,0,3
RepWalterJones,1,19
RepWebster,0,14
RepWebster,1,41
RepWesterman,0,26
RepWesterman,1,134
RepWexton,0,35
RepWexton,1,364
RepWilson,0,62
RepWilson,1,219
RepYvetteClarke,0,33
RepYvetteClarke,1,208
RepZoeLofgren,0,29
RepZoeLofgren,1,156
RobWittman,0,17
RobWittman,1,221
Robert_Aderholt,0,17
Robert_Aderholt,1,97
RodneyDavis,0,26
RodneyDavis,1,165
RonWyden,0,47
RonWyden,1,232
RoyBlunt,0,57
RoyBlunt,1,356
SanfordBishop,0,12
SanfordBishop,1,71
SenAlexander,0,42
SenAlexander,1,304
SenAmyKlobuchar,0,29
SenAmyKlobuchar,1,134
SenAngusKing,0,38
SenAngusKing,1,199
SenBillCassidy,0,53
SenBillCassidy,1,226
SenBlumenthal,0,66
SenBlumenthal,1,220
SenBobCasey,0,80
SenBobCasey,1,294
SenBooker,0,56
SenBooker,1,279
SenBrianSchatz,0,37
SenBrianSchatz,1,142
SenCapito,0,20
SenCapito,1,214
SenCortezMasto,0,61
SenCortezMasto,1,335
SenCoryGardner,0,43
SenCoryGardner,1,354
SenDanSullivan,0,24
SenDanSullivan,1,150
SenDougJones,0,30
SenDougJones,1,252
SenDuckworth,0,66
SenDuckworth,1,240
SenFeinstein,0,55
SenFeinstein,1,218
SenGaryPeters,0,44
SenGaryPeters,1,367
SenHawleyPress,0,51
SenHawleyPress,1,129
SenHydeSmith,0,27
SenHydeSmith,1,171
SenJackReed,0,44
SenJackReed,1,241
SenJackyRosen,0,47
SenJackyRosen,1,362
SenJeffMerkley,0,56
SenJeffMerkley,1,166
SenJohnBarrasso,0,37
SenJohnBarrasso,1,149
SenJohnHoeven,0,14
SenJohnHoeven,1,102
SenJohnKennedy,0,27
SenJohnKennedy,1,103
SenJohnThune,0,39
SenJohnThune,1,158
SenJoniErnst,0,28
SenJoniErnst,1,272
SenKamalaHarris,0,80
SenKamalaHarris,1,293
SenKevinCramer,0,29
SenKevinCramer,1,116
SenMarkey,0,60
SenMarkey,1,373
SenMcSallyAZ,0,38
SenMcSallyAZ,1,254
SenMikeLee,0,23
SenMikeLee,1,47
SenMurphyOffice,0,41
SenMurphyOffice,1,59
SenPatRoberts,0,11
SenPatRoberts,1,131
SenRickScott,0,38
SenRickScott,1,108
SenRonJohnson,0,22
SenRonJohnson,1,93
SenRubioPress,0,48
SenRubioPress,1,136
SenSanders,0,51
SenSanders,1,330
SenSasse,0,7
SenSasse,1,8
SenSchumer,0,144
SenSchumer,1,279
SenShelby,0,3
SenShelby,1,101
SenSherrodBrown,0,62
SenSherrodBrown,1,192
SenStabenow,0,46
SenStabenow,1,236
SenTedCruz,0,12
SenTedCruz,1,48
SenThomTillis,0,23
SenThomTillis,1,348
SenTinaSmith,0,51
SenTinaSmith,1,234
SenToddYoung,0,25
SenToddYoung,1,356
SenTomCotton,0,83
SenTomCotton,1,159
SenToomey,0,13
SenToomey,1,58
SenWarren,0,96
SenWarren,1,291
SenWhitehouse,0,37
SenWhitehouse,1,123
Sen_JoeManchin,0,20
