,Tweet
99,"Today we celebrate our two greatest presidents - George Washington, the father of our country, and Abraham Lincoln who ended slavery and preserved the Union. https://t.co/JZrPDAdPTm"
100,"I applaud the @FCC and @AjitPaiFCC for working to expand rural broadband access in over 500 locations in Wyoming. More access to high-speed internet empowers our hospitals, schools, farms, and banks to better serve our state. https://t.co/9krK6bKNOA"
101,I am grateful to all law enforcement professionals who dedicate themselves to their communities to keep us safe each and every day. Thank you for your service!  #LawEnforcementAppreciationDay https://t.co/pLzChTjfcQ
102,"I stand with President Trump, who has been clear that the United States will not tolerate such action against our forces."
103,Happy Hanukkah to all who are celebrating this Festival of Lights! https://t.co/iojyN2qn0k
104,"It was a pleasure to meet with Army Sergeant Major Jason Huff, who is stationed at Fort Bragg and part of the base's leadership program. Thank you for your service! https://t.co/pP9ueBRFlY"
105,Thank you to Pioneer Counseling’s Outreach Coordinator Vicki Wood for stopping by my office to share the work you’re doing in Wyoming to combat the nation’s devastating opioid epidemic. https://t.co/4T2UwTqwYY
106,"Great to meet this morning with White House fellow Dakota Roberson, who received his doctorate in electrical engineering from the University of Wyoming in 2017. I appreciate your hard work in Washington, DC! https://t.co/tesF6MzvfS"
107,Thank you to the members of the Greater Little Mountain Coalition who met with me today to talk about the importance of protecting Wyoming’s rich hunting and fishing resources. https://t.co/0v7Gig2rlB
108,"We live in freedom because of the brave men and women who serve in our armed forces. Today we honor all who have served and their families. 
#ThankAVet https://t.co/qCdsWjClNn"
109,I’m proud to introduce legislation to make it easier for disabled veterans to fly with their service dog. Thank you to the vets of Wyo. who brought this issue to my attention for their efforts to improve the lives of disabled veterans across our country.  https://t.co/80A8MYrBdd
110,"I enjoyed meeting today with Kevin Elsasser, who serves as the President of United Steelworkers Local HollyFrontier in Cheyenne. https://t.co/jVYHHZLHGa"
111,"Great to meet with Cory Runion, who chairs the Wyoming State Legislative Board for the Brotherhood of Locomotive Engineers. https://t.co/dqvgQVEQIQ"
112,Thank you to all who attended our coffee in Cheyenne this week. I am grateful for the chance to report on events in DC and hear from all of you. I appreciate your time and input. https://t.co/jIw089D441
113,"Turkey must face serious consequences for mercilessly attacking our Kurdish allies in northern Syria, who incurred thousands of casualties in the fight against ISIS and helped us protect the homeland. https://t.co/fPqmJryHZ4"
114,"Grateful to folks who came out for our coffee on Monday. I enjoyed our discussion, the chance to update everyone on developments in DC, and hearing your concerns and views from home. https://t.co/vOO9gQcanp"
115,Wishing all who celebrate a blessed Yom Kippur and an easy fast. https://t.co/UzRusOw26E
116,"The Democrats' disastrous plan for a government takeover of prescription drugs will give Americans less choice and even higher prices. 

Telling Wyoming Medicare beneficiaries that Washington will now control their healthcare is unacceptable. https://t.co/qJneVXRa0E"
117,I’m pleased to welcome Katharine MacGregor as Deputy Secretary of the Interior Department. Kate is a proven friend of the West who fully understands and supports the principle of multiple-use and sustained-yield of public lands. https://t.co/qpqSjXusfm
118,"We pause today to remember the brave Americans who did not come home after defending our nation in uniform.

You Are Not Forgotten.
#POWMIARecognitionDay https://t.co/b2ykFWp5Xi"
119,"For more than seven decades, the @usairforce has dominated the skies. As we honor the service’s 72nd birthday, I’d like to extend my deepest gratitude to our airmen and women who work tirelessly to keep us safe. #FlyFightWin https://t.co/BQWMSL2E6X"
120,"This morning, we held a moment of silence on the Capitol steps to honor &amp; remember the victims of the deadly terror attacks of 9/11. We must never forget that day, the first responders &amp; members of our armed forces who have sacrificed so much to keep us safe in the years since. https://t.co/r7mKDSKsJF"
121,"On September 11th, terrorists attacked our freedom and sought to destroy our country.

We will never forget those we lost that day and will remember those who risked their lives to keep us safe and defend the exceptionalism of this nation. #NeverForget https://t.co/84H1Gqp5na"
122,"Wyoming has a proud State Fair tradition of honoring the men and women who have devoted their lives to our state’s thriving agriculture industry.  A huge congrats to this year’s inductees into the Wyoming Ag Hall of Fame, Jim Wilson and Dick Hiser! https://t.co/lqm4k11UQS"
123,"The United States cannot repeat the mistakes of the Obama administration by trusting our enemies who want to do us harm.

Listen to my interview regarding U.S.-Taliban talks with @HughHewitt below. https://t.co/GfF12DCc1y"
124,"This Very Good @sweetwaterso K-9 just received a Heroic Dog Award for rescuing a 4-year-old boy who went missing in June. You deserve it, Jara! https://t.co/ApQqjp9gAG"
125,"Today, we honor the 1.8 million brave men and women of our armed forces who have been awarded a Purple Heart for wounds received while defending our country. We are eternally grateful for their service. https://t.co/QYvtjiwpwm"
126,"We have fundamental policy differences with our Democratic colleagues who would like to impose socialism on our country. Unfortunately, the media isn't concerned about substance. https://t.co/OtTn4cbeYg"
