,Tweet
144,"Do you own a small business or lend to them? 

Here is an important summary of small business related aid in the CARES Act, the phase III China virus relief bill. https://t.co/3lkyOxkWKw"
145,"For rural Arkansans, telehealth options are more important now than ever. 

This toolkit explains how telehealth can be used to provide care remotely, as well as what’s covered through public and private insurance. https://t.co/mHKBpqrbnc"
146,"We need to use every option at our disposal to combat the China virus.

Today I sent a letter to the president asking him to support Governor Hutchinson's request for increased flexibility in using Medicaid to fight the virus. https://t.co/JHOcQPBq8c"
147,"Will you get China virus relief?

Most people will get a direct deposit in the next three weeks, if the IRS has your bank account info. The rest will be mailed a check. No one has to apply. 

Details here:
https://t.co/HzQHJVhPjZ"
148,"If we give up on our efforts to control this virus now, our medical system will be overwhelmed. We cannot allow that to happen. https://t.co/kumJ03NDHu"
149,"Once immediate precautions are in place &amp; the first wave of the virus has passed, then we’ll be prepared to reopen our communities, while watching for new outbreaks.
 
America will reopen. But that decision must be based on local conditions, not an arbitrary, nationwide timeline. https://t.co/HCyFnb81lP"
150,"We must use the precious days and weeks ahead to lay the groundwork for a new strategy to fight the virus, a strategy that will allow all of us to gradually get back to work. https://t.co/UAKihDICN2"
151,"3.3M lost their job last week. Pre-virus average was 200k. Previous record was 700k. The toll of this virus is staggering. 

Our emergency legislation isn’t stimulus—it’s survival. 

We’ll come back together. Please help those in need where you can. https://t.co/xBS4krht5b"
152,"“A refrigerated truck has been stationed outside to hold the bodies of the dead.”
 
Please read this harrowing story of a hospital on the brink of collapse. Do your part to arrest the spread of the China virus. And God bless our brave docs and nurses. https://t.co/fiVIizxVDR"
153,"17. Creating a “Coronavirus Accountability and Transparency Committee”

18. $33,200,000 for new facilities for the National Oceanic and Atmospheric Administration

19. $36,000,000 for the National Center for Advancing Translational Services"
154,But wait. There’s more. Democrats have added to the wish list they want included in an *emergency* coronavirus relief bill: https://t.co/tfoCqIiWaE
155,This is the stark truth: we have to arrest the spread of the China virus to get the economy back on its feet &amp; get life back to something like normal. https://t.co/KNUTXNIpnL
156,"Please read this testimonial. Though the China virus is particularly dangerous for the elderly and the ill, even healthy, strong, fit, young people can be at grave risk. Please don’t assume you’re immune or that we can shrug off the risk to healthy people under 60. https://t.co/MRoSxe4QoA"
157,"4. Republicans can even agree to a little more money for cities and states, as long as it’s targeted for coronavirus efforts and in the form of a loan that must be paid back, not a bailout of long-time fiscally irresponsible state and local governments."
158,3. A grave danger right now is overloading our hospitals to the point of collapse. The bill already offers $75 billion for health-care providers. It’s not imprudent to plan for the worst-case scenario.
159,".@SenSchumer has walked the Democrats into a box canyon &amp; @SpeakerPelosi wants an ideological wish list totally unrelated to the pandemic. Meanwhile, Americans are dying, losing their jobs, &amp; seeing their retirement savings evaporate. Let me suggest some grounds for compromise:"
160,"Families and businesses need help now to survive the China virus pandemic. But @SpeakerPelosi walked away from negotiations to write her own bill, full of absurd provisions completely unrelated to the crisis at hand. Here’s what Speaker Pelosi is demanding while Americans suffer:"
161,"This report is correct. Pelosi &amp; Schumer are willing to risk your life, your job, your retirement savings for a radical, left-wing wish list that has nothing to do with this virus. Disgraceful. https://t.co/le9jlTB4KH"
162,"Chinese Communist Party lies &amp; corruption turned a local health problem into a global pandemic, devastating lives &amp; dreams across our country. There will be a reckoning. https://t.co/CPlEohA5ez"
163,"Thank you Taiwan for remaining a vital democratic partner during this crisis. A stark contrast to the Chinese Communist Party, which hoards masks and threatens to cut off America’s access to vital drugs. 
https://t.co/7KuAsXM9TT"
164,The Chinese Communist Party has threatened to cut off America's access to vital drugs in the midst of a pandemic caused by its own failures. It's time to pull America's supply chains for life-saving medicine out of China. https://t.co/XrBorsdynQ
165,"My statement on the Families First Coronavirus Response Act:
https://t.co/JNRJm5woC7"
166,The Chinese Communist Party stays in power by restricting access to information. It’s no surprise that a free press—particularly one reporting on China’s terrible response to the Wuhan coronavirus—has threatened CCP enough to be expelled from their shores. https://t.co/8CCAPJRLos
